Data,RegiaoPagamento,RegiaoRecebimento,IdadePagamento,IdadeRecebimento,Valor,Quantidade,ValorTransacao
01-2023,Nao informado,CENTRO-OESTE,Nao se aplica,entre 30 e 39 anos,10.0,1,10.0
01-2023,SUL,Nao informado,Nao se aplica,entre 20 e 29 anos,2857.58,27,105.84
01-2023,NORDESTE,Nao informado,Nao se aplica,mais de 60 anos,52.36,2,26.18
01-2023,Nao informado,NORTE,entre 50 e 59 anos,até 19 anos,3481.0,33,105.48
01-2023,CENTRO-OESTE,SUDESTE,entre 30 e 39 anos,Nao se aplica,4217.19,7,602.46
01-2023,SUL,CENTRO-OESTE,mais de 60 anos,entre 20 e 29 anos,6965124.92,13223,526.74
01-2023,SUDESTE,SUDESTE,entre 30 e 39 anos,Nao se aplica,1.31147641347E9,2403383,545.68
01-2023,NORDESTE,NORTE,entre 30 e 39 anos,entre 40 e 49 anos,5778419.53,30035,192.39
01-2023,NORTE,SUDESTE,entre 40 e 49 anos,entre 40 e 49 anos,41559.3,171,243.04
01-2023,Nao informado,NORTE,Nao informado,entre 30 e 39 anos,9260.07,67,138.21
02-2023,CENTRO-OESTE,NORDESTE,entre 30 e 39 anos,entre 30 e 39 anos,1148814.13,27622,41.59
02-2023,NORTE,Nao informado,entre 40 e 49 anos,Nao informado,1000.0,2,500.0
02-2023,NORDESTE,NORDESTE,Nao informado,Nao se aplica,20.0,1,20.0
02-2023,CENTRO-OESTE,CENTRO-OESTE,entre 20 e 29 anos,até 19 anos,696807.89,11986,58.14
02-2023,NORDESTE,SUDESTE,entre 50 e 59 anos,Nao se aplica,122464.41,186,658.41
02-2023,NORTE,NORDESTE,mais de 60 anos,entre 20 e 29 anos,1107.37,25,44.29
02-2023,SUL,NORTE,Nao se aplica,até 19 anos,220.0,6,36.67
02-2023,CENTRO-OESTE,SUDESTE,entre 40 e 49 anos,entre 50 e 59 anos,3.969088446E7,102876,385.81
02-2023,NORTE,NORTE,entre 50 e 59 anos,Nao se aplica,7673.25,30,255.78
02-2023,SUDESTE,CENTRO-OESTE,entre 20 e 29 anos,entre 40 e 49 anos,3.296808742E7,152172,216.65
03-2023,CENTRO-OESTE,NORDESTE,entre 20 e 29 anos,mais de 60 anos,46452.38,2039,22.78
03-2023,NORTE,SUDESTE,até 19 anos,mais de 60 anos,7792.42,505,15.43
03-2023,SUDESTE,NORTE,entre 50 e 59 anos,entre 40 e 49 anos,3353075.74,7803,429.72
03-2023,Nao informado,Nao informado,entre 20 e 29 anos,entre 20 e 29 anos,385044.35,1005,383.13
03-2023,SUL,NORTE,até 19 anos,até 19 anos,1290.0,50,25.8
03-2023,NORDESTE,CENTRO-OESTE,Nao se aplica,entre 50 e 59 anos,1.389976926E7,2033,6837.07
03-2023,NORTE,NORTE,entre 50 e 59 anos,mais de 60 anos,3.225195171E7,105330,306.2
03-2023,NORDESTE,NORTE,Nao se aplica,entre 40 e 49 anos,2.621495731E7,5840,4488.86
03-2023,CENTRO-OESTE,SUDESTE,entre 50 e 59 anos,Nao se aplica,3853.12,12,321.09
03-2023,NORDESTE,NORTE,até 19 anos,mais de 60 anos,35582.9,712,49.98
04-2023,CENTRO-OESTE,SUL,entre 20 e 29 anos,Nao se aplica,512305.82,1554,329.67
04-2023,NORDESTE,SUDESTE,entre 30 e 39 anos,mais de 60 anos,163134.12,435,375.02
04-2023,SUDESTE,SUDESTE,entre 40 e 49 anos,Nao se aplica,1.263519558E9,1997744,632.47
04-2023,SUL,SUL,Nao se aplica,mais de 60 anos,9.3718238412E8,198066,4731.67
04-2023,NORTE,NORTE,Nao se aplica,entre 20 e 29 anos,7.72227778E7,122310,631.37
04-2023,CENTRO-OESTE,NORTE,mais de 60 anos,Nao se aplica,735922.76,3265,225.4
04-2023,NORTE,SUL,mais de 60 anos,até 19 anos,82.05,8,10.26
04-2023,NORTE,NORTE,Nao se aplica,entre 50 e 59 anos,833.0,4,208.25
04-2023,SUL,NORDESTE,entre 40 e 49 anos,até 19 anos,179860.52,2287,78.64
04-2023,NORTE,NORTE,Nao se aplica,entre 50 e 59 anos,778783.46,4161,187.16
05-2023,NORDESTE,NORTE,Nao se aplica,mais de 60 anos,1.283504004E7,10660,1204.04
05-2023,SUL,Nao informado,entre 40 e 49 anos,entre 30 e 39 anos,2159951.64,4550,474.71
05-2023,CENTRO-OESTE,CENTRO-OESTE,entre 50 e 59 anos,entre 20 e 29 anos,1275428.39,25742,49.55
05-2023,Nao informado,SUL,Nao se aplica,Nao se aplica,104.12,1,104.12
05-2023,SUL,NORTE,entre 50 e 59 anos,Nao se aplica,1081662.45,3610,299.63
